time,R1_ch1,R1_ch2,R1_ch3,R1_ch4,R1_ch5,R2_ch1,R2_ch2,R2_ch3,R2_ch4,R2_ch5
2026-06-17T18:28:48.294062,0.133834,0.131392,0.181453,0.050806,0.270586,0.13337,0.143138,0.14558,0.116276,0.234713
2026-06-17T18:29:48.308716,0.132613,0.135055,0.175348,0.052027,0.268144,0.137033,0.140696,0.139475,0.123602,0.242039
2026-06-17T18:30:48.321346,0.135055,0.131392,0.17779,0.050806,0.27547,0.132149,0.143138,0.134591,0.123602,0.238376
2026-06-17T18:31:48.337007,0.135055,0.124066,0.179011,0.049585,0.271807,0.130928,0.138254,0.143138,0.117497,0.242039
2026-06-17T18:32:48.351680,0.135055,0.12895,0.174127,0.049585,0.271807,0.130928,0.134591,0.140696,0.123602,0.237155
2026-06-17T18:33:48.365687,0.139939,0.130171,0.169243,0.044701,0.274249,0.135812,0.139475,0.143138,0.12116,0.237155
2026-06-17T18:34:48.379146,0.14116,0.127729,0.171685,0.054469,0.274249,0.13337,0.143138,0.138254,0.12116,0.239597
2026-06-17T18:35:48.393005,0.136276,0.131392,0.176569,0.052027,0.269365,0.132149,0.141917,0.140696,0.115055,0.245702
2026-06-17T18:36:48.404398,0.139939,0.130171,0.174127,0.047143,0.264481,0.134591,0.139475,0.143138,0.117497,0.233492
2026-06-17T18:37:48.421076,0.14116,0.125287,0.175348,0.054469,0.274249,0.132149,0.140696,0.137033,0.117497,0.24326
2026-06-17T18:38:48.433759,0.137497,0.12895,0.172906,0.044701,0.268144,0.134591,0.138254,0.14558,0.117497,0.235934
2026-06-17T18:39:48.447694,0.131392,0.12895,0.168022,0.047143,0.265702,0.135812,0.140696,0.141917,0.119939,0.244481
2026-06-17T18:40:48.459586,0.14116,0.131392,0.170464,0.048364,0.270586,0.137033,0.140696,0.14558,0.122381,0.246923
2026-06-17T18:41:48.478215,0.139939,0.125287,0.168022,0.052027,0.270586,0.129707,0.137033,0.14558,0.116276,0.238376
2026-06-17T18:42:48.488407,0.135055,0.130171,0.171685,0.052027,0.270586,0.135812,0.138254,0.144359,0.12116,0.240818
2026-06-17T18:43:48.503779,0.135055,0.126508,0.174127,0.044701,0.268144,0.130928,0.140696,0.150464,0.12116,0.238376
2026-06-17T18:44:48.518456,0.135055,0.124066,0.172906,0.052027,0.274249,0.130928,0.140696,0.143138,0.12116,0.235934
2026-06-17T18:45:48.531927,0.138718,0.12895,0.176569,0.045922,0.270586,0.128486,0.141917,0.144359,0.118718,0.242039
2026-06-17T18:46:48.543521,0.138718,0.125287,0.174127,0.050806,0.274249,0.130928,0.140696,0.139475,0.12116,0.245702
2026-06-17T18:47:48.559877,0.131392,0.131392,0.174127,0.049585,0.270586,0.135812,0.139475,0.140696,0.117497,0.24326
2026-06-17T18:48:48.571862,0.135055,0.12895,0.181453,0.052027,0.264481,0.130928,0.140696,0.14558,0.12116,0.233492
2026-06-17T18:49:48.585224,0.137497,0.122845,0.176569,0.054469,0.271807,0.129707,0.139475,0.138254,0.119939,0.238376
2026-06-17T18:50:48.600266,0.137497,0.133834,0.175348,0.049585,0.271807,0.132149,0.132149,0.138254,0.119939,0.233492
2026-06-17T18:51:48.615475,0.139939,0.126508,0.176569,0.053248,0.271807,0.13337,0.135812,0.140696,0.119939,0.246923
2026-06-17T18:52:48.627273,0.132613,0.133834,0.174127,0.050806,0.271807,0.13337,0.139475,0.139475,0.119939,0.233492
2026-06-17T18:53:48.641718,0.132613,0.132613,0.176569,0.044701,0.260818,0.130928,0.135812,0.140696,0.122381,0.240818
2026-06-17T18:54:48.654081,0.133834,0.131392,0.176569,0.050806,0.264481,0.132149,0.137033,0.137033,0.118718,0.235934
