time,R1_ch1,R1_ch2,R1_ch3,R1_ch4,R1_ch5,R2_ch1,R2_ch2,R2_ch3,R2_ch4,R2_ch5
2026-06-14T15:05:56.697411,285.338,274.34,360.5,77.495,587.826,276.042,284.292,292.562,243.268,507.962
2026-06-14T15:06:56.708908,268.856,268.856,357.69,89.854,593.7,276.042,284.292,292.562,235.132,525.374
2026-06-14T15:07:56.725742,279.834,268.856,368.944,92.345,587.826,265.077,284.292,287.046,235.132,525.374
2026-06-14T15:08:56.738913,277.086,260.648,374.582,99.852,590.762,284.292,289.803,289.803,245.985,507.962
2026-06-14T15:09:56.753604,277.086,260.648,363.313,99.852,599.578,270.555,292.562,295.324,232.426,513.76
2026-06-14T15:10:56.766957,293.611,271.597,374.582,84.891,593.7,278.79,284.292,287.046,245.985,522.469
2026-06-14T15:11:56.778099,274.34,274.34,363.313,89.854,584.892,276.042,287.046,298.087,229.723,522.469
2026-06-14T15:12:56.792921,277.086,260.648,357.69,99.852,584.892,276.042,287.046,295.324,248.704,522.469
2026-06-14T15:13:56.805633,282.585,263.381,371.762,94.841,593.7,270.555,270.555,292.562,232.426,519.564
2026-06-14T15:14:56.818188,285.338,260.648,363.313,84.891,581.958,273.297,276.042,298.087,237.841,516.662
2026-06-14T15:15:56.832483,271.597,268.856,363.313,92.345,587.826,270.555,287.046,289.803,251.427,522.469
2026-06-14T15:16:56.849281,279.834,257.916,380.228,92.345,573.166,278.79,292.562,300.853,254.152,516.662
2026-06-14T15:17:56.864229,285.338,263.381,366.127,87.369,593.7,273.297,278.79,289.803,245.985,525.374
2026-06-14T15:18:56.874951,285.338,266.117,360.5,94.841,599.578,276.042,270.555,292.562,232.426,528.281
2026-06-14T15:19:56.891577,282.585,257.916,360.5,92.345,593.7,276.042,298.087,289.803,243.268,519.564
2026-06-14T15:20:56.903241,282.585,260.648,360.5,82.419,587.826,276.042,281.54,284.292,237.841,513.76
2026-06-14T15:21:56.919229,279.834,266.117,371.762,79.954,590.762,278.79,292.562,295.324,240.553,516.662
2026-06-14T15:22:56.929026,277.086,257.916,377.404,94.841,596.638,281.54,278.79,298.087,235.132,516.662
2026-06-14T15:23:56.944343,282.585,263.381,368.944,87.369,590.762,276.042,287.046,292.562,248.704,507.962
2026-06-14T15:24:56.956931,288.094,252.462,371.762,94.841,590.762,284.292,270.555,292.562,243.268,525.374
2026-06-14T15:25:56.970273,279.834,271.597,354.881,102.365,602.519,278.79,292.562,281.54,240.553,519.564
2026-06-14T15:26:56.984678,282.585,252.462,368.944,87.369,570.238,278.79,273.297,289.803,235.132,522.469
2026-06-14T15:27:56.999306,285.338,266.117,360.5,77.495,596.638,270.555,298.087,295.324,248.704,513.76
2026-06-14T15:28:57.011986,282.585,263.381,368.944,87.369,599.578,265.077,287.046,284.292,251.427,513.76
2026-06-14T15:29:57.025446,282.585,255.188,383.053,102.365,590.762,276.042,284.292,284.292,240.553,531.19
2026-06-14T15:30:57.039075,285.338,268.856,357.69,99.852,581.958,270.555,270.555,292.562,248.704,516.662
2026-06-14T15:31:57.054383,282.585,263.381,354.881,87.369,584.892,276.042,278.79,278.79,243.268,531.19
2026-06-14T15:32:57.067141,288.094,271.597,374.582,82.419,587.826,267.815,276.042,284.292,232.426,510.86
2026-06-14T15:33:57.084387,266.117,271.597,363.313,97.344,599.578,273.297,295.324,300.853,232.426,519.564
2026-06-14T15:34:57.096274,279.834,277.086,374.582,97.344,593.7,284.292,273.297,281.54,243.268,507.962
2026-06-14T15:35:57.109472,277.086,268.856,377.404,89.854,596.638,262.342,284.292,287.046,229.723,522.469
2026-06-14T15:36:57.125042,279.834,274.34,357.69,89.854,593.7,284.292,278.79,287.046,243.268,528.281
2026-06-14T15:37:57.138870,288.094,257.916,377.404,79.954,590.762,267.815,278.79,298.087,235.132,516.662
2026-06-14T15:38:57.151005,271.597,252.462,357.69,89.854,584.892,281.54,281.54,295.324,237.841,525.374
2026-06-14T15:39:57.164755,274.34,271.597,357.69,87.369,573.166,270.555,289.803,292.562,251.427,519.564
2026-06-14T15:40:57.177734,279.834,263.381,371.762,75.043,584.892,284.292,278.79,300.853,240.553,522.469
2026-06-14T15:41:57.194796,282.585,255.188,380.228,79.954,587.826,287.046,284.292,284.292,232.426,522.469
2026-06-14T15:42:57.205562,277.086,268.856,360.5,84.891,602.519,273.297,287.046,289.803,237.841,528.281
2026-06-14T15:43:57.221266,282.585,260.648,371.762,89.854,587.826,278.79,273.297,287.046,237.841,522.469
2026-06-14T15:44:57.233577,285.338,249.739,366.127,99.852,587.826,278.79,287.046,295.324,237.841,516.662
2026-06-14T15:45:57.247414,290.851,271.597,368.944,94.841,590.762,276.042,270.555,295.324,229.723,510.86
2026-06-14T15:46:57.261163,279.834,263.381,366.127,89.854,584.892,278.79,276.042,289.803,227.022,516.662
2026-06-14T15:47:57.277569,266.117,274.34,371.762,97.344,579.026,267.815,287.046,292.562,245.985,513.76
2026-06-14T15:48:57.278609,290.851,249.739,360.5,97.344,596.638,267.815,281.54,289.803,254.152,519.564
2026-06-14T15:49:57.294015,279.834,255.188,368.944,97.344,584.892,267.815,273.297,295.324,232.426,528.281
2026-06-14T15:50:57.309149,271.597,255.188,371.762,99.852,587.826,273.297,276.042,298.087,245.985,522.469
2026-06-14T15:51:57.320628,279.834,266.117,371.762,87.369,581.958,281.54,278.79,276.042,232.426,519.564
2026-06-14T15:52:57.335342,290.851,255.188,371.762,92.345,599.578,276.042,278.79,295.324,251.427,525.374
2026-06-14T15:53:57.348271,285.338,266.117,360.5,89.854,581.958,281.54,295.324,284.292,232.426,525.374
2026-06-14T15:54:57.362269,271.597,249.739,371.762,94.841,590.762,270.555,292.562,287.046,245.985,525.374
2026-06-14T15:55:57.378260,277.086,268.856,360.5,92.345,599.578,278.79,289.803,300.853,243.268,528.281
2026-06-14T15:56:57.392566,279.834,260.648,366.127,87.369,581.958,281.54,276.042,295.324,245.985,525.374
2026-06-14T15:57:57.404763,277.086,266.117,368.944,89.854,590.762,273.297,295.324,300.853,248.704,522.469
2026-06-14T15:58:57.417826,279.834,268.856,371.762,89.854,590.762,276.042,276.042,284.292,235.132,522.469
2026-06-14T15:59:57.430418,266.117,260.648,377.404,97.344,581.958,278.79,287.046,287.046,240.553,516.662
2026-06-14T16:00:57.445157,293.611,266.117,374.582,92.345,590.762,270.555,292.562,292.562,224.324,519.564
2026-06-14T16:01:57.457496,282.585,260.648,363.313,87.369,599.578,259.609,287.046,303.621,251.427,528.281
2026-06-14T16:02:57.470438,282.585,255.188,374.582,92.345,587.826,273.297,276.042,289.803,243.268,516.662
2026-06-14T16:03:57.485265,279.834,268.856,357.69,84.891,596.638,278.79,287.046,295.324,248.704,531.19
2026-06-14T16:04:57.499665,274.34,263.381,371.762,94.841,576.096,284.292,276.042,292.562,245.985,525.374
2026-06-14T16:05:57.509169,268.856,255.188,377.404,79.954,573.166,265.077,278.79,295.324,245.985,516.662
2026-06-14T16:06:57.527410,282.585,263.381,377.404,84.891,596.638,273.297,289.803,281.54,237.841,528.281
2026-06-14T16:07:57.542078,282.585,263.381,366.127,97.344,581.958,278.79,276.042,278.79,243.268,531.19
2026-06-14T16:08:57.552968,282.585,252.462,357.69,92.345,590.762,267.815,281.54,298.087,251.427,522.469
2026-06-14T16:09:57.566431,277.086,271.597,354.881,79.954,596.638,276.042,281.54,292.562,232.426,531.19
2026-06-14T16:10:57.577908,268.856,260.648,380.228,89.854,587.826,273.297,287.046,289.803,243.268,516.662
2026-06-14T16:11:57.595243,282.585,274.34,368.944,89.854,596.638,265.077,284.292,295.324,245.985,519.564
2026-06-14T16:12:57.608932,282.585,263.381,374.582,84.891,596.638,276.042,278.79,292.562,237.841,525.374
2026-06-14T16:13:57.621873,285.338,263.381,360.5,99.852,579.026,278.79,287.046,284.292,251.427,528.281
2026-06-14T16:14:57.635507,268.856,266.117,374.582,92.345,593.7,273.297,287.046,300.853,240.553,534.1
2026-06-14T16:15:57.651798,285.338,263.381,363.313,82.419,579.026,284.292,292.562,292.562,235.132,513.76
2026-06-14T16:16:57.664154,271.597,260.648,368.944,82.419,584.892,265.077,289.803,284.292,229.723,522.469
2026-06-14T16:17:57.677812,274.34,260.648,363.313,84.891,584.892,265.077,284.292,284.292,240.553,528.281
2026-06-14T16:18:57.691734,279.834,260.648,368.944,99.852,602.519,278.79,284.292,287.046,240.553,519.564
2026-06-14T16:19:57.704274,282.585,263.381,368.944,84.891,590.762,267.815,289.803,289.803,245.985,510.86
2026-06-14T16:20:57.721072,293.611,263.381,363.313,94.841,596.638,270.555,281.54,284.292,237.841,510.86
2026-06-14T16:21:57.733259,282.585,247.018,377.404,92.345,590.762,273.297,278.79,289.803,245.985,519.564
2026-06-14T16:22:57.747611,271.597,266.117,377.404,89.854,584.892,265.077,284.292,292.562,243.268,510.86
2026-06-14T16:23:57.760372,288.094,268.856,360.5,87.369,596.638,287.046,276.042,295.324,240.553,519.564
2026-06-14T16:24:57.773537,288.094,268.856,366.127,92.345,579.026,273.297,284.292,300.853,254.152,513.76
2026-06-14T16:25:57.780612,282.585,266.117,363.313,82.419,584.892,278.79,284.292,295.324,245.985,534.1
2026-06-14T16:26:57.794585,277.086,266.117,368.944,89.854,576.096,262.342,273.297,289.803,237.841,516.662
2026-06-14T16:27:57.808514,288.094,263.381,368.944,97.344,587.826,265.077,278.79,292.562,240.553,516.662
2026-06-14T16:28:57.821287,285.338,260.648,374.582,84.891,590.762,270.555,287.046,292.562,235.132,522.469
2026-06-14T16:29:57.836538,279.834,266.117,357.69,94.841,587.826,276.042,292.562,298.087,235.132,516.662
2026-06-14T16:30:57.849170,285.338,252.462,360.5,94.841,587.826,276.042,287.046,284.292,243.268,507.962
2026-06-14T16:31:57.862482,285.338,260.648,357.69,92.345,599.578,284.292,284.292,281.54,240.553,516.662
2026-06-14T16:32:57.876771,277.086,260.648,368.944,77.495,593.7,281.54,273.297,295.324,240.553,516.662
2026-06-14T16:33:57.889893,268.856,266.117,363.313,87.369,590.762,284.292,273.297,298.087,240.553,525.374
2026-06-14T16:34:57.904020,288.094,260.648,366.127,87.369,584.892,281.54,295.324,295.324,224.324,522.469
2026-06-14T16:35:57.919083,279.834,255.188,366.127,82.419,593.7,278.79,278.79,284.292,240.553,534.1
2026-06-14T16:36:57.932377,274.34,266.117,360.5,99.852,579.026,270.555,284.292,289.803,240.553,505.065
2026-06-14T16:37:57.947152,274.34,260.648,366.127,82.419,596.638,273.297,287.046,278.79,240.553,513.76
2026-06-14T16:38:57.959288,268.856,249.739,368.944,82.419,590.762,278.79,289.803,298.087,245.985,525.374
2026-06-14T16:39:57.972915,279.834,271.597,363.313,89.854,581.958,276.042,289.803,289.803,229.723,516.662
2026-06-14T16:40:57.989027,268.856,255.188,371.762,87.369,596.638,281.54,287.046,292.562,235.132,525.374
2026-06-14T16:41:58.000519,290.851,257.916,371.762,92.345,581.958,270.555,292.562,284.292,227.022,510.86
2026-06-14T16:42:58.015133,271.597,266.117,363.313,99.852,590.762,267.815,281.54,289.803,245.985,531.19
2026-06-14T16:43:58.031241,271.597,257.916,366.127,72.598,587.826,287.046,281.54,295.324,235.132,516.662
2026-06-14T16:44:58.041799,285.338,268.856,357.69,92.345,579.026,281.54,278.79,292.562,237.841,516.662
2026-06-14T16:45:58.056077,285.338,255.188,363.313,84.891,596.638,265.077,278.79,289.803,227.022,505.065
2026-06-14T16:46:58.069489,277.086,271.597,368.944,84.891,590.762,284.292,276.042,287.046,248.704,513.76
