timestamp,sensor_group,channel,raw_adc,raw_voltage_v,delta_voltage_v,dose_rad
2026-06-14T00:38:45.808711,R2,5,1701,2.076923,0.246923,537.011
2026-06-14T00:39:45.773643,R2,1,1605,1.959707,0.129707,265.077
2026-06-14T00:39:45.785618,R2,2,1614,1.970696,0.140696,289.803
2026-06-14T00:39:45.797522,R2,3,1611,1.967033,0.137033,281.54
2026-06-14T00:39:45.809476,R2,4,1595,1.947497,0.117497,237.841
2026-06-14T00:39:45.821362,R2,5,1695,2.069597,0.239597,519.564
2026-06-14T00:40:45.786931,R2,1,1608,1.96337,0.13337,273.297
2026-06-14T00:40:45.798865,R2,2,1614,1.970696,0.140696,289.803
2026-06-14T00:40:45.810637,R2,3,1616,1.973138,0.143138,295.324
2026-06-14T00:40:45.822348,R2,4,1593,1.945055,0.115055,232.426
2026-06-14T00:40:45.834196,R2,5,1697,2.072039,0.242039,525.374
2026-06-14T00:41:45.794186,R2,1,1607,1.962149,0.132149,270.555
2026-06-14T00:41:45.806310,R2,2,1609,1.964591,0.134591,276.042
2026-06-14T00:41:45.818205,R2,3,1616,1.973138,0.143138,295.324
2026-06-14T00:41:45.829906,R2,4,1597,1.949939,0.119939,243.268
2026-06-14T00:41:45.841577,R2,5,1693,2.067155,0.237155,513.76
2026-06-14T00:42:45.807406,R2,1,1609,1.964591,0.134591,276.042
2026-06-14T00:42:45.819561,R2,2,1614,1.970696,0.140696,289.803
2026-06-14T00:42:45.831610,R2,3,1617,1.974359,0.144359,298.087
2026-06-14T00:42:45.843498,R2,4,1594,1.946276,0.116276,235.132
2026-06-14T00:42:45.855356,R2,5,1689,2.062271,0.232271,502.169
2026-06-14T00:43:45.818930,R2,1,1611,1.967033,0.137033,281.54
2026-06-14T00:43:45.830935,R2,2,1611,1.967033,0.137033,281.54
2026-06-14T00:43:45.842747,R2,3,1616,1.973138,0.143138,295.324
2026-06-14T00:43:45.855270,R2,4,1599,1.952381,0.122381,248.704
2026-06-14T00:43:45.867308,R2,5,1696,2.070818,0.240818,522.469
2026-06-14T00:44:45.836287,R2,1,1608,1.96337,0.13337,273.297
2026-06-14T00:44:45.848303,R2,2,1611,1.967033,0.137033,281.54
2026-06-14T00:44:45.860296,R2,3,1614,1.970696,0.140696,289.803
2026-06-14T00:44:45.872222,R2,4,1594,1.946276,0.116276,235.132
2026-06-14T00:44:45.884125,R2,5,1696,2.070818,0.240818,522.469
2026-06-14T00:45:45.848961,R2,1,1609,1.964591,0.134591,276.042
2026-06-14T00:45:45.861025,R2,2,1615,1.971917,0.141917,292.562
2026-06-14T00:45:45.872886,R2,3,1611,1.967033,0.137033,281.54
2026-06-14T00:45:45.884636,R2,4,1594,1.946276,0.116276,235.132
2026-06-14T00:45:45.896367,R2,5,1697,2.072039,0.242039,525.374
2026-06-14T00:46:45.864217,R2,1,1610,1.965812,0.135812,278.79
2026-06-14T00:46:45.876409,R2,2,1616,1.973138,0.143138,295.324
2026-06-14T00:46:45.888448,R2,3,1614,1.970696,0.140696,289.803
2026-06-14T00:46:45.900463,R2,4,1595,1.947497,0.117497,237.841
2026-06-14T00:46:45.912366,R2,5,1692,2.065934,0.235934,510.86
2026-06-14T00:47:45.874809,R2,1,1611,1.967033,0.137033,281.54
2026-06-14T00:47:45.886737,R2,2,1608,1.96337,0.13337,273.297
2026-06-14T00:47:45.898471,R2,3,1613,1.969475,0.139475,287.046
2026-06-14T00:47:45.910200,R2,4,1595,1.947497,0.117497,237.841
2026-06-14T00:47:45.921877,R2,5,1699,2.074481,0.244481,531.19
2026-06-14T00:48:45.887512,R2,1,1607,1.962149,0.132149,270.555
2026-06-14T00:48:45.899544,R2,2,1610,1.965812,0.135812,278.79
2026-06-14T00:48:45.911301,R2,3,1618,1.97558,0.14558,300.853
2026-06-14T00:48:45.923009,R2,4,1598,1.95116,0.12116,245.985
2026-06-14T00:48:45.934730,R2,5,1692,2.065934,0.235934,510.86
2026-06-14T00:49:45.909563,R2,1,1615,1.971917,0.141917,292.562
2026-06-14T00:49:45.921715,R2,2,1615,1.971917,0.141917,292.562
2026-06-14T00:49:45.933682,R2,3,1614,1.970696,0.140696,289.803
2026-06-14T00:49:45.945644,R2,4,1594,1.946276,0.116276,235.132
2026-06-14T00:49:45.957547,R2,5,1700,2.075702,0.245702,534.1
2026-06-14T00:50:45.918881,R2,1,1608,1.96337,0.13337,273.297
2026-06-14T00:50:45.930982,R2,2,1611,1.967033,0.137033,281.54
2026-06-14T00:50:45.942925,R2,3,1615,1.971917,0.141917,292.562
2026-06-14T00:50:45.954838,R2,4,1597,1.949939,0.119939,243.268
2026-06-14T00:50:45.966721,R2,5,1694,2.068376,0.238376,516.662
2026-06-14T00:51:45.931202,R2,1,1607,1.962149,0.132149,270.555
2026-06-14T00:51:45.943210,R2,2,1612,1.968254,0.138254,284.292
2026-06-14T00:51:45.955151,R2,3,1616,1.973138,0.143138,295.324
2026-06-14T00:51:45.967033,R2,4,1595,1.947497,0.117497,237.841
2026-06-14T00:51:45.978903,R2,5,1691,2.064713,0.234713,507.962
2026-06-14T00:52:45.941429,R2,1,1610,1.965812,0.135812,278.79
2026-06-14T00:52:45.953331,R2,2,1611,1.967033,0.137033,281.54
2026-06-14T00:52:45.965014,R2,3,1618,1.97558,0.14558,300.853
2026-06-14T00:52:45.976676,R2,4,1597,1.949939,0.119939,243.268
2026-06-14T00:52:45.988363,R2,5,1697,2.072039,0.242039,525.374
2026-06-14T00:53:45.956507,R2,1,1611,1.967033,0.137033,281.54
2026-06-14T00:53:45.968402,R2,2,1613,1.969475,0.139475,287.046
2026-06-14T00:53:45.980185,R2,3,1613,1.969475,0.139475,287.046
2026-06-14T00:53:45.992022,R2,4,1598,1.95116,0.12116,245.985
2026-06-14T00:53:46.003782,R2,5,1695,2.069597,0.239597,519.564
2026-06-14T00:54:45.971249,R2,1,1606,1.960928,0.130928,267.815
2026-06-14T00:54:45.983220,R2,2,1610,1.965812,0.135812,278.79
2026-06-14T00:54:45.994985,R2,3,1610,1.965812,0.135812,278.79
2026-06-14T00:54:46.006867,R2,4,1593,1.945055,0.115055,232.426
2026-06-14T00:54:46.018666,R2,5,1696,2.070818,0.240818,522.469
2026-06-14T00:55:45.986599,R2,1,1607,1.962149,0.132149,270.555
2026-06-14T00:55:45.998530,R2,2,1614,1.970696,0.140696,289.803
2026-06-14T00:55:46.010253,R2,3,1614,1.970696,0.140696,289.803
2026-06-14T00:55:46.022211,R2,4,1594,1.946276,0.116276,235.132
2026-06-14T00:55:46.033985,R2,5,1697,2.072039,0.242039,525.374
2026-06-14T00:56:45.998559,R2,1,1609,1.964591,0.134591,276.042
2026-06-14T00:56:46.010536,R2,2,1613,1.969475,0.139475,287.046
2026-06-14T00:56:46.022294,R2,3,1613,1.969475,0.139475,287.046
2026-06-14T00:56:46.033989,R2,4,1599,1.952381,0.122381,248.704
2026-06-14T00:56:46.045753,R2,5,1695,2.069597,0.239597,519.564
2026-06-14T00:57:46.011713,R2,1,1610,1.965812,0.135812,278.79
2026-06-14T00:57:46.023651,R2,2,1612,1.968254,0.138254,284.292
2026-06-14T00:57:46.035490,R2,3,1614,1.970696,0.140696,289.803
2026-06-14T00:57:46.047240,R2,4,1595,1.947497,0.117497,237.841
2026-06-14T00:57:46.059029,R2,5,1692,2.065934,0.235934,510.86
2026-06-14T00:58:46.025234,R2,1,1612,1.968254,0.138254,284.292
2026-06-14T00:58:46.037169,R2,2,1613,1.969475,0.139475,287.046
2026-06-14T00:58:46.048870,R2,3,1614,1.970696,0.140696,289.803
2026-06-14T00:58:46.060542,R2,4,1594,1.946276,0.116276,235.132
2026-06-14T00:58:46.072303,R2,5,1697,2.072039,0.242039,525.374
2026-06-14T00:59:46.039050,R2,1,1613,1.969475,0.139475,287.046
2026-06-14T00:59:46.050967,R2,2,1614,1.970696,0.140696,289.803
2026-06-14T00:59:46.062665,R2,3,1615,1.971917,0.141917,292.562
2026-06-14T00:59:46.074332,R2,4,1598,1.95116,0.12116,245.985
2026-06-14T00:59:46.086163,R2,5,1695,2.069597,0.239597,519.564
2026-06-14T01:00:46.057731,R2,1,1605,1.959707,0.129707,265.077
2026-06-14T01:00:46.069740,R2,2,1613,1.969475,0.139475,287.046
2026-06-14T01:00:46.081572,R2,3,1615,1.971917,0.141917,292.562
2026-06-14T01:00:46.093335,R2,4,1594,1.946276,0.116276,235.132
2026-06-14T01:00:46.105057,R2,5,1696,2.070818,0.240818,522.469
2026-06-14T01:01:46.065508,R2,1,1606,1.960928,0.130928,267.815
2026-06-14T01:01:46.077489,R2,2,1610,1.965812,0.135812,278.79
2026-06-14T01:01:46.089244,R2,3,1616,1.973138,0.143138,295.324
2026-06-14T01:01:46.100922,R2,4,1598,1.95116,0.12116,245.985
2026-06-14T01:01:46.112661,R2,5,1697,2.072039,0.242039,525.374
2026-06-14T01:02:46.079290,R2,1,1611,1.967033,0.137033,281.54
2026-06-14T01:02:46.091234,R2,2,1613,1.969475,0.139475,287.046
2026-06-14T01:02:46.103009,R2,3,1613,1.969475,0.139475,287.046
2026-06-14T01:02:46.114733,R2,4,1598,1.95116,0.12116,245.985
2026-06-14T01:02:46.126543,R2,5,1700,2.075702,0.245702,534.1
2026-06-14T01:03:46.093409,R2,1,1612,1.968254,0.138254,284.292
2026-06-14T01:03:46.105338,R2,2,1613,1.969475,0.139475,287.046
2026-06-14T01:03:46.117019,R2,3,1615,1.971917,0.141917,292.562
2026-06-14T01:03:46.128691,R2,4,1593,1.945055,0.115055,232.426
2026-06-14T01:03:46.140417,R2,5,1693,2.067155,0.237155,513.76
2026-06-14T01:04:46.108844,R2,1,1610,1.965812,0.135812,278.79
2026-06-14T01:04:46.120760,R2,2,1610,1.965812,0.135812,278.79
2026-06-14T01:04:46.132463,R2,3,1612,1.968254,0.138254,284.292
2026-06-14T01:04:46.144130,R2,4,1599,1.952381,0.122381,248.704
2026-06-14T01:04:46.155837,R2,5,1696,2.070818,0.240818,522.469
2026-06-14T01:05:46.122889,R2,1,1610,1.965812,0.135812,278.79
2026-06-14T01:05:46.134892,R2,2,1615,1.971917,0.141917,292.562
2026-06-14T01:05:46.146646,R2,3,1614,1.970696,0.140696,289.803
2026-06-14T01:05:46.158330,R2,4,1596,1.948718,0.118718,240.553
2026-06-14T01:05:46.170006,R2,5,1695,2.069597,0.239597,519.564
2026-06-14T01:06:46.136822,R2,1,1611,1.967033,0.137033,281.54
2026-06-14T01:06:46.148758,R2,2,1611,1.967033,0.137033,281.54
2026-06-14T01:06:46.160515,R2,3,1618,1.97558,0.14558,300.853
2026-06-14T01:06:46.172291,R2,4,1593,1.945055,0.115055,232.426
2026-06-14T01:06:46.184030,R2,5,1694,2.068376,0.238376,516.662
2026-06-14T01:07:46.151499,R2,1,1611,1.967033,0.137033,281.54
2026-06-14T01:07:46.163547,R2,2,1609,1.964591,0.134591,276.042
2026-06-14T01:07:46.175340,R2,3,1616,1.973138,0.143138,295.324
2026-06-14T01:07:46.187080,R2,4,1594,1.946276,0.116276,235.132
2026-06-14T01:07:46.198832,R2,5,1694,2.068376,0.238376,516.662
2026-06-14T01:08:46.165570,R2,1,1608,1.96337,0.13337,273.297
2026-06-14T01:08:46.177726,R2,2,1610,1.965812,0.135812,278.79
2026-06-14T01:08:46.189716,R2,3,1609,1.964591,0.134591,276.042
2026-06-14T01:08:46.201638,R2,4,1594,1.946276,0.116276,235.132
2026-06-14T01:08:46.213544,R2,5,1693,2.067155,0.237155,513.76
