timestamp,sensor_group,channel,raw_adc,raw_voltage_v,delta_voltage_v,voltage_valid,dose_rad
2026-06-08 08:45:01.538938,R1,5,1708,2.08547,0.27547,True,605.461
2026-06-08 08:46:01.501557,R1,1,1606,1.960928,0.150928,True,312.994
2026-06-08 08:46:01.513810,R1,2,1599,1.952381,0.142381,True,293.611
2026-06-08 08:46:01.525647,R1,3,1636,1.997558,0.187558,True,397.209
2026-06-08 08:46:01.537429,R1,4,1530,1.868132,0.058132,True,109.938
2026-06-08 08:46:01.549218,R1,5,1717,2.096459,0.286459,True,631.998
2026-06-08 08:47:01.512005,R1,1,1600,1.953602,0.143602,True,296.374
2026-06-08 08:47:01.524250,R1,2,1600,1.953602,0.143602,True,296.374
2026-06-08 08:47:01.536004,R1,3,1634,1.995116,0.185116,True,391.541
2026-06-08 08:47:01.547732,R1,4,1518,1.85348,0.04348,True,79.954
2026-06-08 08:47:01.559379,R1,5,1710,2.087912,0.277912,True,611.349
2026-06-08 08:48:01.531329,R1,1,1605,1.959707,0.149707,True,310.219
2026-06-08 08:48:01.543512,R1,2,1602,1.956044,0.146044,True,301.905
2026-06-08 08:48:01.555209,R1,3,1637,1.998779,0.188779,True,400.046
2026-06-08 08:48:01.566898,R1,4,1536,1.875458,0.065458,True,125.221
2026-06-08 08:48:01.578576,R1,5,1710,2.087912,0.277912,True,611.349
2026-06-08 08:49:01.544133,R1,1,1603,1.957265,0.147265,True,304.674
2026-06-08 08:49:01.556216,R1,2,1593,1.945055,0.135055,True,277.086
2026-06-08 08:49:01.567904,R1,3,1630,1.990232,0.180232,True,380.228
2026-06-08 08:49:01.579561,R1,4,1529,1.866911,0.056911,True,107.409
2026-06-08 08:49:01.591218,R1,5,1709,2.086691,0.276691,True,608.405
2026-06-08 08:50:01.559297,R1,1,1599,1.952381,0.142381,True,293.611
2026-06-08 08:50:01.571473,R1,2,1601,1.954823,0.144823,True,299.138
2026-06-08 08:50:01.583209,R1,3,1633,1.993895,0.183895,True,388.71
2026-06-08 08:50:01.594907,R1,4,1529,1.866911,0.056911,True,107.409
2026-06-08 08:50:01.606592,R1,5,1711,2.089133,0.279133,True,614.296
2026-06-08 08:51:01.569002,R1,1,1599,1.952381,0.142381,True,293.611
